,conpany,position,Salary,avg_salary
153,名创优品,潮玩门店经理（嘉兴TOPTOY店长）,15-25K,20.0
154,大参林,执业药师,8-13K,10.5
155,歌尔,电子硬件工程师/主管,5-10K,7.5
156,国金黄金,渠道销售（六险一金+晋升快）,10-11K,10.5
157,美承集团,美承集团招聘店员/营业员,8-12K,10.0
158,恒天财富,团队经理、理财顾问,3-4K,3.5
159,爱康企业集团,区域销售代表-建材（嘉兴）,25-50K,37.5
160,绿茶餐厅,领位员,8-12K,10.0
161,拓保软件,分公司总经理（甲方岗位）,4-6K,5.0
162,杰创智能电器,电子工程师,8-11K,9.5
163,叶氏兄弟果品,叶氏兄弟果品招聘店员/营业员,6-11K,8.5
164,浙江大学,运维管理工程师,5-10K,7.5
165,创业软件,实施工程师,6-8K,7.0
166,新开普,项目实施工程师,20-30K,25.0
167,伟星新材,渠道业务员,25-50K,37.5
168,齐家网,建筑设计师,9-14K,11.5
169,Shopee,国际电商产品经理/leader-App方向,20-25K,22.5
170,盛丰物流,财务经理（杭州）,11-18K,14.5
171,海底捞,兼职·平湖吾悦广场 急招暑假工,9-14K,11.5
172,森马,资深系统开发工程师（WMS/TMS） (MJ003777),6-10K,8.0
173,先进数通,ETL开发工程师（嘉兴）,4-7K,5.5
174,中国太平洋保险,嘉兴国企续费/包吃双休 收入高/社保年终奖,15-20K,17.5
175,蓝月亮（中国）有限公司,KA主任/业务主任（嘉兴）,12-20K,16.0
176,贝泰妮集团,薇诺娜护肤品导购桐乡吾悦广场店,5-6K,5.5
177,江苏恩华药业,医学信息联络专员_嘉兴,6-11K,8.5
178,香飘飘,城市经理（嘉兴）,10-15K,12.5
179,震坤行,商务经理,6-11K,8.5
180,三只松鼠,门店储备运营合伙人,5-7K,6.0
181,AIRTAC亚德客,销售工程师-嘉兴,5-10K,7.5
182,医联,医药代表,14-15K,14.5
183,喜马拉雅,质检专员,8-13K,10.5
184,海风教育,科学老师,5-6K,5.5
185,大搜车,金融客户经理,5-9K,7.0
186,爱学习教育集团,高思爱学习湖州、嘉兴城市客户经理,10-15K,12.5
187,西域集团,西域集团招聘供应链专员,8-12K,10.0
188,锐锢商城,锐锢商城招聘运输经理/主管,3-5K,4.0
189,CAMERICH锐驰,运维工程师,7-12K,9.5
190,浙江优创,Java（嘉兴银行）,4-9K,6.5
191,建科项管,建筑工程资料员,10-15K,12.5
192,新航道    杭州学校  宁波学校,基础英语老师（嘉兴）,7-12K,9.5
193,四川明欣药业,生物制药,3-4K,3.5
194,恒丰SEE,服装设计师,2-3K,2.5
195,好特卖,好特卖店长（嘉兴）,3-4K,3.5
196,蓝卡（国际）健康集团,护士/护理,7-12K,9.5
197,上海高仙,嘉兴麦德龙保洁,,
198,永辉超市,巡店,,
199,万德软件,嘉兴 无线通信工程师,,
